[0.000000] (-) TimerEvent: {}
[0.000180] (-) JobUnselected: {'identifier': 'roberto'}
[0.000251] (-) JobUnselected: {'identifier': 'roberto_gesture_detection'}
[0.000310] (-) JobUnselected: {'identifier': 'roberto_lidar'}
[0.000519] (-) JobUnselected: {'identifier': 'roberto_nav_punto'}
[0.000584] (-) JobUnselected: {'identifier': 'roberto_nav_ruta'}
[0.000751] (-) JobUnselected: {'identifier': 'roberto_person_detection'}
[0.000819] (roberto_mundo) JobQueued: {'identifier': 'roberto_mundo', 'dependencies': OrderedDict()}
[0.159548] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/materials/scripts/grey_wall.material_Zone.Identifier\n'}
[0.159769] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/materials/scripts/grey_wall.material:Zone.Identifier\n'}
[0.159878] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/materials/scripts/grey_wall.material\n'}
[0.160352] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/model.sdf\n'}
[0.160531] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/small_house\n'}
[0.160667] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/small_house/model.config\n'}
[0.160831] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/small_house/model.sdf\n'}
[0.161000] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane\n'}
[0.161380] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_4.sdf_Zone.Identifier\n'}
[0.161728] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model.config_Zone.Identifier\n'}
[0.161905] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_4.sdf\n'}
[0.162295] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_2.sdf:Zone.Identifier\n'}
[0.162526] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_3.sdf\n'}
[0.162962] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_2.sdf_Zone.Identifier\n'}
[0.163270] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_3.sdf_Zone.Identifier\n'}
[0.163413] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_3.sdf:Zone.Identifier\n'}
[0.163624] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model.config\n'}
[0.163760] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model.sdf:Zone.Identifier\n'}
[0.163944] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_4.sdf:Zone.Identifier\n'}
[0.164355] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model.sdf_Zone.Identifier\n'}
[0.164507] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model.config:Zone.Identifier\n'}
[0.164732] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model.sdf\n'}
[0.165077] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_2.sdf\n'}
[0.165352] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam\n'}
[0.165855] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam/model-1_4.sdf_Zone - Copy.Identifier\n'}
[0.166185] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam/model-1_4.sdf\n'}
[0.166684] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam/model-1_4.sdf:Zone - Copy.Identifier\n'}
[0.167146] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam/model.config\n'}
[0.167242] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam/model.config:Zone - Copy.Identifier\n'}
[0.167536] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam/model.config_Zone - Copy.Identifier\n'}
[0.167902] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam/model.sdf\n'}
[0.168200] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls\n'}
[0.168462] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/model.config_Zone.Identifier\n'}
[0.168786] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/model.config\n'}
[0.169122] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/model.sdf:Zone.Identifier\n'}
[0.169288] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/model.sdf_Zone.Identifier\n'}
[0.169397] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/model.config:Zone.Identifier\n'}
[0.169555] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials\n'}
[0.169717] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/textures\n'}
[0.170077] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/textures/grey_wall.png\n'}
[0.170464] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/textures/grey_wall.png:Zone.Identifier\n'}
[0.171050] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/textures/grey_wall.png_Zone.Identifier\n'}
[0.171463] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/scripts\n'}
[0.171791] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/scripts/grey_wall.material_Zone.Identifier\n'}
[0.171932] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/scripts/grey_wall.material:Zone.Identifier\n'}
[0.172136] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/scripts/grey_wall.material\n'}
[0.172499] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/model.sdf\n'}
[0.172773] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/naokoeye\n'}
[0.173141] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/naokoeye/model.config\n'}
[0.173388] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/naokoeye/meshes\n'}
[0.173842] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/naokoeye/meshes/naokoeye.dae\n'}
[0.174136] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/naokoeye/meshes/naokoeye.png\n'}
[0.174309] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/naokoeye/meshes/brown_eye.png\n'}
[0.174494] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/naokoeye/meshes/naokoeyev2.dae\n'}
[0.175097] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/naokoeye/meshes/eyebrow001.png\n'}
[0.175407] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/naokoeye/meshes/female_casualsuit02_normal.png\n'}
[0.175621] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/naokoeye/meshes/female_casualsuit02_diffuse.png\n'}
[0.175803] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/naokoeye/meshes/bob02_diffuse.png\n'}
[0.176105] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/naokoeye/model.sdf\n'}
[0.176292] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun\n'}
[0.176442] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_4.sdf_Zone.Identifier\n'}
[0.176560] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model.config_Zone.Identifier\n'}
[0.177237] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_4.sdf\n'}
[0.177355] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_2.sdf:Zone.Identifier\n'}
[0.177433] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_3.sdf\n'}
[0.177538] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_2.sdf_Zone.Identifier\n'}
[0.177612] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_3.sdf_Zone.Identifier\n'}
[0.177694] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_3.sdf:Zone.Identifier\n'}
[0.177763] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model.config\n'}
[0.177832] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model.sdf:Zone.Identifier\n'}
[0.177938] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_4.sdf:Zone.Identifier\n'}
[0.178015] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model.sdf_Zone.Identifier\n'}
[0.178528] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model.config:Zone.Identifier\n'}
[0.179516] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model.sdf\n'}
[0.180126] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_2.sdf\n'}
[0.180285] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye\n'}
[0.180911] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye/model.config\n'}
[0.181150] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye/meshes\n'}
[0.181331] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye/meshes/brown_eye.png\n'}
[0.181490] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye/meshes/shoes03_diffuse.png\n'}
[0.181640] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye/meshes/young_darkskinned_male_diffuse.png\n'}
[0.181790] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye/meshes/male_casualsuit03_normal.png\n'}
[0.181957] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye/meshes/bobeye.png\n'}
[0.182383] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye/meshes/bobeyev2.dae\n'}
[0.182741] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye/meshes/eyebrow001.png\n'}
[0.183109] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye/meshes/teeth.png\n'}
[0.183992] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye/meshes/bobeye.dae\n'}
[0.184201] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye/meshes/tongue01_diffuse.png\n'}
[0.184361] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye/meshes/male_casualsuit03_diffuse.png\n'}
[0.184674] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/bobeye/model.sdf\n'}
[0.184848] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/gertrudiseye\n'}
[0.185020] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/gertrudiseye/model.config\n'}
[0.185632] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/gertrudiseye/meshes\n'}
[0.185848] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/gertrudiseye/meshes/female_elegantsuit01_diffuse.png\n'}
[0.186018] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/gertrudiseye/meshes/female_elegantsuit01_normal.png\n'}
[0.186249] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/gertrudiseye/meshes/teeth.png\n'}
[0.186449] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/gertrudiseye/meshes/gertrudiseyev2.dae\n'}
[0.187211] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/gertrudiseye/meshes/old_lightskinned_female_diffuse.png\n'}
[0.187585] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/gertrudiseye/meshes/green_eye.png\n'}
[0.187757] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/gertrudiseye/meshes/gertrudiseye.png\n'}
[0.188143] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/gertrudiseye/meshes/braid01_diffuse.png\n'}
[0.188331] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/gertrudiseye/meshes/tongue01_diffuse.png\n'}
[0.188826] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/gertrudiseye/meshes/gertrudiseye.dae\n'}
[0.189170] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/gertrudiseye/model.sdf\n'}
[0.189382] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger\n'}
[0.190249] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger/model-1_4.sdf_Zone - Copy.Identifier\n'}
[0.190961] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger/model-1_4.sdf\n'}
[0.191371] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger/model-1_4.sdf:Zone - Copy.Identifier\n'}
[0.191685] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger/model.config\n'}
[0.191897] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger/model.config:Zone - Copy.Identifier\n'}
[0.192128] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger/model.config_Zone - Copy.Identifier\n'}
[0.192330] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger/model.sdf\n'}
[0.192574] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common\n'}
[0.192979] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/model.config\n'}
[0.193317] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/model.config:Zone - Copy.Identifier\n'}
[0.193531] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/model.config_Zone - Copy.Identifier\n'}
[0.193929] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes\n'}
[0.194116] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/burger_base.dae\n'}
[0.194274] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/tire.dae_Zone - Copy.Identifier\n'}
[0.194878] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/lds.dae\n'}
[0.195117] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/lds.dae:Zone - Copy.Identifier\n'}
[0.195243] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/tire.dae:Zone - Copy.Identifier\n'}
[0.195440] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/wheels\n'}
[0.195599] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/wheels/right_tire.stl\n'}
[0.195753] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/wheels/left_tire.stl\n'}
[0.195909] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/wheels/right_tire.stl:Zone - Copy.Identifier\n'}
[0.196042] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/wheels/right_tire.stl_Zone - Copy.Identifier\n'}
[0.196398] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/wheels/left_tire.stl_Zone - Copy.Identifier\n'}
[0.196741] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/wheels/left_tire.stl:Zone - Copy.Identifier\n'}
[0.196957] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/waffle_pi_base.dae_Zone - Copy.Identifier\n'}
[0.197076] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/waffle_pi_base.dae\n'}
[0.197395] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/burger_base.dae:Zone - Copy.Identifier\n'}
[0.197680] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/lds.dae_Zone - Copy.Identifier\n'}
[0.197920] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/tire.dae\n'}
[0.198149] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/sensors\n'}
[0.198283] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/sensors/r200.jpg\n'}
[0.198455] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/sensors/lds.stl\n'}
[0.198843] (-) TimerEvent: {}
[0.198981] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/sensors/astra.jpg\n'}
[0.199239] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/sensors/r200.jpg:Zone - Copy.Identifier\n'}
[0.199619] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/sensors/astra.dae\n'}
[0.200059] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/sensors/r200.dae\n'}
