[0.000000] (-) TimerEvent: {}
[0.000292] (-) JobUnselected: {'identifier': 'roberto'}
[0.000361] (-) JobUnselected: {'identifier': 'roberto_gesture_detection'}
[0.000962] (-) JobUnselected: {'identifier': 'roberto_lidar'}
[0.001027] (-) JobUnselected: {'identifier': 'roberto_nav_punto'}
[0.001068] (-) JobUnselected: {'identifier': 'roberto_nav_ruta'}
[0.001107] (-) JobUnselected: {'identifier': 'roberto_person_detection'}
[0.001147] (roberto_mundo) JobQueued: {'identifier': 'roberto_mundo', 'dependencies': OrderedDict()}
[0.156004] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/materials/scripts/grey_wall.material_Zone.Identifier\n'}
[0.156225] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/materials/scripts/grey_wall.material:Zone.Identifier\n'}
[0.156530] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/materials/scripts/grey_wall.material\n'}
[0.156704] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/model.sdf\n'}
[0.156892] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/small_house\n'}
[0.157089] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/small_house/model.config\n'}
[0.157413] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/small_house/model.sdf\n'}
[0.157643] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane\n'}
[0.158136] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_4.sdf_Zone.Identifier\n'}
[0.158413] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model.config_Zone.Identifier\n'}
[0.158607] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_4.sdf\n'}
[0.158719] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_2.sdf:Zone.Identifier\n'}
[0.158842] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_3.sdf\n'}
[0.159001] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_2.sdf_Zone.Identifier\n'}
[0.159305] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_3.sdf_Zone.Identifier\n'}
[0.159823] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_3.sdf:Zone.Identifier\n'}
[0.160027] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model.config\n'}
[0.160347] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model.sdf:Zone.Identifier\n'}
[0.160506] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_4.sdf:Zone.Identifier\n'}
[0.160927] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model.sdf_Zone.Identifier\n'}
[0.161108] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model.config:Zone.Identifier\n'}
[0.161477] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model.sdf\n'}
[0.161929] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/ground_plane/model-1_2.sdf\n'}
[0.162304] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam\n'}
[0.162593] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam/model-1_4.sdf_Zone - Copy.Identifier\n'}
[0.163098] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam/model-1_4.sdf\n'}
[0.163384] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam/model-1_4.sdf:Zone - Copy.Identifier\n'}
[0.163925] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam/model.config\n'}
[0.164091] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam/model.config:Zone - Copy.Identifier\n'}
[0.164441] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam/model.config_Zone - Copy.Identifier\n'}
[0.164873] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger_cam/model.sdf\n'}
[0.165236] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls\n'}
[0.165420] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/model.config_Zone.Identifier\n'}
[0.165627] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/model.config\n'}
[0.165786] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/model.sdf:Zone.Identifier\n'}
[0.166182] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/model.sdf_Zone.Identifier\n'}
[0.166657] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/model.config:Zone.Identifier\n'}
[0.166922] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials\n'}
[0.167141] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/textures\n'}
[0.167358] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/textures/grey_wall.png\n'}
[0.167820] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/textures/grey_wall.png:Zone.Identifier\n'}
[0.167910] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/textures/grey_wall.png_Zone.Identifier\n'}
[0.168053] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/scripts\n'}
[0.168430] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/scripts/grey_wall.material_Zone.Identifier\n'}
[0.168675] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/scripts/grey_wall.material:Zone.Identifier\n'}
[0.169141] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/materials/scripts/grey_wall.material\n'}
[0.169540] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/warehouse_walls/model.sdf\n'}
[0.169697] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun\n'}
[0.169931] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_4.sdf_Zone.Identifier\n'}
[0.170072] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model.config_Zone.Identifier\n'}
[0.170280] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_4.sdf\n'}
[0.170542] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_2.sdf:Zone.Identifier\n'}
[0.170739] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_3.sdf\n'}
[0.170848] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_2.sdf_Zone.Identifier\n'}
[0.171136] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_3.sdf_Zone.Identifier\n'}
[0.171348] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_3.sdf:Zone.Identifier\n'}
[0.171762] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model.config\n'}
[0.172033] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model.sdf:Zone.Identifier\n'}
[0.172151] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_4.sdf:Zone.Identifier\n'}
[0.172226] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model.sdf_Zone.Identifier\n'}
[0.172481] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model.config:Zone.Identifier\n'}
[0.172770] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model.sdf\n'}
[0.173107] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/sun/model-1_2.sdf\n'}
[0.173308] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas\n'}
[0.173496] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/naokoeye\n'}
[0.173656] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/naokoeye/model.config\n'}
[0.173846] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/naokoeye/meshes\n'}
[0.174027] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/naokoeye/meshes/naokoeye.dae\n'}
[0.174230] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/naokoeye/meshes/naokoeye.png\n'}
[0.174416] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/naokoeye/meshes/brown_eye.png\n'}
[0.174637] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/naokoeye/meshes/naokoeyev2.dae\n'}
[0.174833] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/naokoeye/meshes/eyebrow001.png\n'}
[0.175139] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/naokoeye/meshes/female_casualsuit02_normal.png\n'}
[0.175305] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/naokoeye/meshes/female_casualsuit02_diffuse.png\n'}
[0.175604] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/naokoeye/meshes/bob02_diffuse.png\n'}
[0.175756] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/naokoeye/model.sdf\n'}
[0.176491] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye\n'}
[0.177734] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye/model.config\n'}
[0.177953] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye/meshes\n'}
[0.178092] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye/meshes/brown_eye.png\n'}
[0.178202] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye/meshes/shoes03_diffuse.png\n'}
[0.178619] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye/meshes/young_darkskinned_male_diffuse.png\n'}
[0.178964] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye/meshes/male_casualsuit03_normal.png\n'}
[0.179113] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye/meshes/bobeye.png\n'}
[0.179486] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye/meshes/bobeyev2.dae\n'}
[0.179836] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye/meshes/eyebrow001.png\n'}
[0.180069] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye/meshes/teeth.png\n'}
[0.180195] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye/meshes/bobeye.dae\n'}
[0.180357] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye/meshes/tongue01_diffuse.png\n'}
[0.180772] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye/meshes/male_casualsuit03_diffuse.png\n'}
[0.181549] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/bobeye/model.sdf\n'}
[0.181845] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/gertrudiseye\n'}
[0.182041] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/gertrudiseye/model.config\n'}
[0.182303] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/gertrudiseye/meshes\n'}
[0.182653] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/gertrudiseye/meshes/female_elegantsuit01_diffuse.png\n'}
[0.182915] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/gertrudiseye/meshes/female_elegantsuit01_normal.png\n'}
[0.183701] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/gertrudiseye/meshes/teeth.png\n'}
[0.183925] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/gertrudiseye/meshes/gertrudiseyev2.dae\n'}
[0.184096] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/gertrudiseye/meshes/old_lightskinned_female_diffuse.png\n'}
[0.184233] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/gertrudiseye/meshes/green_eye.png\n'}
[0.184342] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/gertrudiseye/meshes/gertrudiseye.png\n'}
[0.184693] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/gertrudiseye/meshes/braid01_diffuse.png\n'}
[0.184970] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/gertrudiseye/meshes/tongue01_diffuse.png\n'}
[0.185311] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/gertrudiseye/meshes/gertrudiseye.dae\n'}
[0.186351] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/gertrudiseye/model.sdf\n'}
[0.186701] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye\n'}
[0.187002] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye/model.config\n'}
[0.187198] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye/meshes\n'}
[0.187716] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye/meshes/eyebrow010.png\n'}
[0.187954] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye/meshes/brown_eye.png\n'}
[0.188261] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye/meshes/young_lightskinned_female_diffuse3.png\n'}
[0.188597] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye/meshes/kumaeye.png\n'}
[0.189196] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye/meshes/male_worksuit01_normal.png\n'}
[0.189393] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye/meshes/kumaeyev2.dae\n'}
[0.189676] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye/meshes/male_worksuit01_diffuse.png\n'}
[0.189849] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye/meshes/teeth.png\n'}
[0.190005] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye/meshes/short01_diffuse.png\n'}
[0.190294] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye/meshes/kumaeye.dae\n'}
[0.190488] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye/meshes/tongue01_diffuse.png\n'}
[0.190650] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/modelos_pesonas/kumaeye/model.sdf\n'}
[0.190795] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger\n'}
[0.190929] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger/model-1_4.sdf_Zone - Copy.Identifier\n'}
[0.191067] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger/model-1_4.sdf\n'}
[0.191233] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger/model-1_4.sdf:Zone - Copy.Identifier\n'}
[0.191388] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger/model.config\n'}
[0.191527] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger/model.config:Zone - Copy.Identifier\n'}
[0.191753] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger/model.config_Zone - Copy.Identifier\n'}
[0.191903] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_burger/model.sdf\n'}
[0.192061] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common\n'}
[0.192287] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/model.config\n'}
[0.192514] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/model.config:Zone - Copy.Identifier\n'}
[0.192847] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/model.config_Zone - Copy.Identifier\n'}
[0.193124] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes\n'}
[0.193296] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/burger_base.dae\n'}
[0.193580] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/tire.dae_Zone - Copy.Identifier\n'}
[0.193786] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/lds.dae\n'}
[0.194008] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/lds.dae:Zone - Copy.Identifier\n'}
[0.194323] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/turtlebot3_common/meshes/tire.dae:Zone - Copy.Identifier\n'}
